Segmentos PK_Calzada No.,Zonas,CIV,PK_ID,Estrategia,Programa,LOC. No.,Nombre Localidad,UPZ,Barrio,Eje Vial,Tramo Inicial,Tramo Final,Longitud Segmento (ML),"Ancho 
Segmento (ML)","Área
Segmento (m2)",Memorando Priorizaciòn,Km Carril Impacto   Km C,Km Lineal,Km Obra,Tipo Malla Vial,Tipo de Actividad,Tipo de Intervención,Fecha Inicio,Fecha Final,Estado Ejecucion,Mes Reporte,Fusion CIV,Fusion PK_ID,Grupo Contraloria,Ingeniero de Apoyo,Director de Obra / Residente
1,Zona 02,"10,001,145","163,073",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOLIVIA,KR 106,CL 80A,CL 81,"10,232",621,"6,354,072","2,01812E+13",21,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
2,Zona 02,"10,001,223","163,075",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOLIVIA,KR 105,CL 80A,CL 81,"10,304",644,"6,635,776","2,01812E+13",22,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
3,Zona 01,"11,011,125","34,010,158",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,LA FLORESTA,POTOSI,AK 72,CL 95,CL 97,"9,532",23,"219,236","2,01812E+13",6,1,0,MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
4,Zona 01,"50,008,833","34,010,156",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,LA FLORESTA,CLUB DE LOS LAGARTOS,AK 72,CL 93,CL 95,911,236,"214,996","2,01812E+13",1,1,0,MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
5,Zona 02,"2,000,829","141,922",Infraestructura y Gestión de Tránsito,IMV-PR-003,2,Chapinero,EL REFUGIO,EL NOGAL,KR 9,CL 82,AC 82,"8,007",842,"6,741,894",Grupo Sigma,22,0,0,CML,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Cesar Pinto,Ing. Wilmer Suarez
6,Zona 03,"9,000,566","381,420",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,FONTIBON SAN PABLO,SAN PABLO JERICO,AC 17,KR 124,KR 126,"11,612","1,159","13,458,308",Grupo Sigma,38,0,"12,685,714",MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
7,Zona 03,"9,000,500","381,256",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,FONTIBON SAN PABLO,SAN PABLO JERICO,AC 17,KR 127,KR 128,"10,062","1,361","13,694,382",Grupo Sigma,39,0,"17,511,429",MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
8,Zona 02,"10,006,507","159,965",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOYACA REAL,FLORIDA BLANCA,CL 70,KR 90BIS,KR 90B,"6,146",545,"334,957","2,01812E+13",11,0,0,MVL,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
9,Zona 02,"10,006,796","159,116",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOYACA REAL,FLORIDA BLANCA,KR 87A,CL 69B,CL 70,"5,021",484,"2,430,164","2,01812E+13",8,0,0,MVL,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
10,Zona 02,"10,001,251","91,024,504",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOCHICA II,KR 101,CL 83,DG 86A,"18,851",712,"13,421,912","2,01812E+13",45,0,0,MVL,Parcheo,Mantenimiento,Thu Jan 03 00:00:00 COT 2019,Thu Jan 03 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
